Product Name,Product Price,Sale Discount (%),Discounted Price,Best Seller Rating,Rating Count,Ship From,Sold By,Product Description,Number Bought in the Past Month,Category Name,All Available Images
Automotive Product 365,4213.6,65.9529337978659,1434.61,5.0,865,China,Seller_332,This is a description for Automotive Product 365.,380,Automotive,https://example.com/Automotive_Product_365.jpg
Beauty Product 675,4144.31,71.8203352284001,1167.85,5.0,791,USA,Seller_151,This is a description for Beauty Product 675.,497,Beauty,https://example.com/Beauty_Product_675.jpg
Automotive Product 669,3778.21,65.94069124281641,1286.83,3.7,481,China,Seller_28,This is a description for Automotive Product 669.,23,Automotive,https://example.com/Automotive_Product_669.jpg
Shoes Product 615,3184.36,84.43942327645806,495.5,4.5,959,China,Seller_222,This is a description for Shoes Product 615.,7,Shoes,https://example.com/Shoes_Product_615.jpg
Electronics Product 574,3735.78,83.66719513926134,610.16,4.0,66,Germany,Seller_300,This is a description for Electronics Product 574.,482,Electronics,https://example.com/Electronics_Product_574.jpg
Shoes Product 261,3279.11,65.97624591478882,1115.68,4.9,551,India,Seller_71,This is a description for Shoes Product 261.,92,Shoes,https://example.com/Shoes_Product_261.jpg
Kitchen Product 694,2920.13,80.02385055198334,583.33,3.6,894,China,Seller_1,This is a description for Kitchen Product 694.,330,Kitchen,https://example.com/Kitchen_Product_694.jpg
Toys Product 810,2328.56,81.24628859926744,436.69,4.1,336,India,Seller_83,This is a description for Toys Product 810.,168,Toys,https://example.com/Toys_Product_810.jpg
Computers Product 947,1084.03,86.53804500222617,145.93,4.8,100,China,Seller_11,This is a description for Computers Product 947.,184,Computers,https://example.com/Computers_Product_947.jpg
Sports Product 446,4161.17,78.0456858283948,913.56,4.3,724,Germany,Seller_392,This is a description for Sports Product 446.,235,Sports,https://example.com/Sports_Product_446.jpg
Toys Product 14,2742.79,54.41959620553506,1250.17,4.6,407,Germany,Seller_52,This is a description for Toys Product 14.,374,Toys,https://example.com/Toys_Product_14.jpg
Clothing Product 867,2543.0,74.30327456505123,653.47,4.2,718,Germany,Seller_345,This is a description for Clothing Product 867.,414,Clothing,https://example.com/Clothing_Product_867.jpg
Electronics Product 733,4378.25,58.62729544283197,1811.4,3.7,388,Germany,Seller_241,This is a description for Electronics Product 733.,278,Electronics,https://example.com/Electronics_Product_733.jpg
Automotive Product 591,3031.46,84.10164708656676,481.95,5.0,644,China,Seller_452,This is a description for Automotive Product 591.,178,Automotive,https://example.com/Automotive_Product_591.jpg
Books Product 740,1426.05,79.07181641005505,298.45,3.9,116,USA,Seller_400,This is a description for Books Product 740.,224,Books,https://example.com/Books_Product_740.jpg
Electronics Product 464,2901.31,65.4306880958951,1002.96,3.6,74,India,Seller_56,This is a description for Electronics Product 464.,191,Electronics,https://example.com/Electronics_Product_464.jpg
Beauty Product 169,3289.55,52.268390817100325,1570.16,4.4,675,China,Seller_356,This is a description for Beauty Product 169.,384,Beauty,https://example.com/Beauty_Product_169.jpg
Sports Product 186,398.62,84.86728525325294,60.32,3.8,170,Germany,Seller_190,This is a description for Sports Product 186.,219,Sports,https://example.com/Sports_Product_186.jpg
